id,title,vote_average,vote_count,release_date,runtime,backdrop_path,overview,popularity,poster_path,tagline,genres,trailer_key
565770,Blue Beetle,7.1,1023,2023-08-16,128,/1syW9SNna38rSl9fnXwc9fP7POW.jpg,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",2994.4,/mXLOHHc1Zeuwsl4xYKjKh2280oL.jpg,Jaime Reyes is a superhero whether he likes it or not.,"Action, Science Fiction, Adventure",4wxyy8Rcz4k
980489,Gran Turismo,8.1,702,2023-08-09,135,/xFYpUmB01nswPgbzi8EOCT1ZYFu.jpg,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.,2680.6,/51tqzRtKMMZEYUpSYkrUE7v9ehm.jpg,From gamer to racer.,"Action, Drama, Adventure",ZCYHn8mvyF8
968051,The Nun II,6.5,365,2023-09-06,110,/53z2fXEKfnNg2uSOPss2unPBGX1.jpg,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",1692.8,/c9kVD7W8CT5xe4O3hQ7bFWwk68U.jpg,Confess your sins.,"Horror, Mystery, Thriller",QF-oyCwaArU
615656,Meg 2: The Trench,6.9,2034,2023-08-02,116,/5mzr6JZbrqnqD8rCEvPhuCE5Fw2.jpg,An exploratory dive into the deepest depths of the ocean of a daring research team spirals into chaos when a malevolent mining operation threatens their mission and forces them into a high-stakes battle for survival.,1567.3,/4m1Au3YkjqsxF8iwQy0fPYSxE0h.jpg,Back for seconds.,"Action, Science Fiction, Horror",dG91B3hHyY4
1008042,Talk to Me,7.2,973,2023-07-26,95,/iIvQnZyzgx9TkbrOgcXx0p7aLiq.jpg,"When a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",1458.5,/kdPMUMJzyYAc4roD52qavX0nLIC.jpg,You call. They'll answer.,"Horror, Thriller",PGo4wfCejsk
385687,Fast X,7.3,3881,2023-05-17,142,/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",1175.3,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,The end of the road begins.,"Action, Crime, Thriller",eoOaKN4qCKw
678512,Sound of Freedom,8.0,503,2023-07-03,131,/eMPxmNvJjxVZIQWI2t1VmNC5IuR.jpg,"The story of Tim Ballard, a former US government agent, who quits his job in order to devote his life to rescuing children from global sex traffickers.",1111.0,/kSf9svfL2WrKeuK8W08xeR5lTn8.jpg,Fight for the light. Silence the darkness.,"Action, Drama",hyyyKcfJRGQ
346698,Barbie,7.3,5074,2023-07-19,114,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",1069.3,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,She's everything. He's just Ken.,"Comedy, Adventure, Fantasy",Y1IgAEejvqM
976573,Elemental,7.8,2467,2023-06-14,102,/4fLZUr1e65hKPPVw0R3PmKFKxj1.jpg,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1008.9,/4Y1WNkd88JXmGfhtWR7dmDAo1T2.jpg,Opposites react.,"Animation, Comedy, Family, Fantasy, Romance",hXzcyx9V0xw
820609,No One Will Save You,6.9,345,2023-09-22,93,/zYlgqIpqJ1VAbvFhRhktAzIybVs.jpg,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,961.2,/ehGIDAMaYy6Eg0o8ga0oqflDjqW.jpg,A home invasion no one saw coming.,"Horror, Science Fiction, Thriller",IcA02w6rm44
717930,Kandahar,6.9,575,2023-05-25,119,/c6Splshb8lb2Q9OvUfhpqXl7uP0.jpg,"After his mission is exposed, an undercover CIA operative stuck deep in hostile territory in Afghanistan must fight his way out, alongside his Afghan translator, to an extraction point in Kandahar, all whilst avoiding elite enemy forces and foreign spies tasked with hunting them down.",708.5,/lCanGgsqF4xD2WA5NF8PWeT3IXd.jpg,The only thing more dangerous than the mission is the escape.,"Action, Thriller",IBh9c2WFFz0
667538,Transformers: Rise of the Beasts,7.5,3270,2023-06-06,127,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",616.7,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,Unite or fall.,"Action, Adventure, Science Fiction",ZtuFgnxQMrA
335977,Indiana Jones and the Dial of Destiny,6.7,1748,2023-06-28,155,/35z8hWuzfFUZQaYog8E9LsXW3iI.jpg,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands.",579.3,/Af4bXE63pVsb2FtbW8uYIyPBadD.jpg,A legend will face his destiny.,"Adventure, Action",eQfMbSe7F2g
569094,Spider-Man: Across the Spider-Verse,8.4,4394,2023-05-31,140,/4HodYYKEIsGOdinkGi2Ucz6X9i0.jpg,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",512.3,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,It's how you wear the mask that matters.,"Animation, Action, Adventure",yFrxzaBLDQM
